111_010111010010 000_011101011110 000_010110100100 000_110010100000
000_101011011011 111_101000110011 000_010010110110 111_011001111111
111_110101100110 111_000000000010 000_010011001001 000_111111111011
000_010010100111 000_110110101111 000_110001010100 000_010010100000

111_010001000101 111_011000011111 000_110111000010 000_000010000101
000_100010000010 000_101100101010 000_011101000011 111_100010111111
000_001010111101 000_110110011001 000_000101001010 000_011110101111
111_110110101000 000_101110011111 111_011100010111 111_111101100100

111_001111101111 000_111101010111 111_000010001000 000_001101101000
111_001110010011 111_101111110110 000_011010110110 000_010101011011
000_011110001100 111_001110001000 111_111100011100 000_011000011011
111_001010110100 111_001001000010 000_010100011011 111_001110000111

111_111000000110 000_110001111000 111_110010101111 000_110110000000
000_100010011110 000_001011000011 111_111100100110 111_011001100000
000_110100011110 111_101001100000 000_110010101001 000_110101110001
000_010001101101 111_101100101011 111_100111000100 111_100011010011

111_000100001001 111_110100101100 111_110011100011 000_110001110101
000_111111010111 000_001010110111 000_110001111010 111_001001111111
000_000111000110 000_010011010100 000_001000100010 000_101010010111
000_010001111011 111_101010111101 111_111010111000 111_001111100101

000_110010110000 000_000000000001 111_011010110111 000_111110110000
111_111100110110 111_100010110110 111_101110101111 000_100110000010
000_110000001011 000_011011000111 111_011011001111 000_010100110110
000_100110101011 000_011111100100 111_100001110010 000_110011100000

111_011100001011 111_100000011010 000_001100100101 000_001011001110
111_101011100001 111_100001101100 111_100111101011 111_100101000010
000_001110000110 111_111100101111 111_110001101001 111_110011111000
111_101110111101 111_101110101111 111_000010001110 111_110100110101

111_100101100000 000_010001000110 111_110001010101 000_110011011011
111_111110010000 111_100011101110 000_111100111110 111_001110001101
000_011111110100 111_111110111000 000_100111000100 000_110111010011
000_001000001100 000_101100111111 000_011001111111 111_100011001010

111_010010110001 000_010000110001 000_101100100101 111_101100000100
111_011110110011 111_100101000100 111_010110100111 000_000001111110
111_110001101100 000_001111010101 111_010010000001 000_010000111001
111_000110001011 000_110011111010 111_100011101101 000_010000000101

111_001110010010 111_001001110100 111_111000001101 000_000101001010
000_001011100110 111_000110100100 111_001111110100 000_010001100100
000_010001111111 111_111001011000 111_011110011111 111_111111100010
111_111000000011 111_011011101011 000_111100110001 000_000000001111

000_010010000001 111_111110101110 111_100111110010 000_010100010011
111_010000000011 111_111101111101 000_010010110101 000_111101011011
111_100010101011 111_101001111001 111_010101000001 000_011000101101
000_000111000000 000_101010010101 111_010010100111 000_011100111001

000_001010010010 000_001101000111 111_000001011100 000_111010111000
000_001100100010 000_000011101000 111_100001100001 000_110101000010
111_011110011000 111_011001111110 000_010111101011 000_111100111110
000_000010000110 000_101111110001 000_101110010001 111_001000010011

000_010011000001 000_101100111001 000_101011111110 111_110100001011
111_110101001000 000_111100001001 000_100100000101 111_111111011001
000_001011100101 111_001111000000 000_110100100011 111_011110001010
111_000010011100 000_110110110111 000_100011011110 000_011010011110

000_000100000111 111_100000010111 000_110110110000 111_001111000000
000_111111001100 111_001001110110 111_100010000101 111_011010010011
111_101110001100 111_111000000110 000_000110000100 000_000001010010
000_011010001110 000_001000101110 000_011001110100 000_100001010110

000_010011111101 111_010111111100 000_101110000111 111_001101001111
000_100111011001 111_111111100100 111_100101101111 111_001110100110
111_010111100100 000_000010101100 000_110010000010 111_101100101000
000_101110101001 111_000000001001 000_101110011100 111_100000100011

111_110100111001 000_001011000001 111_010010101110 000_111011101101
000_000111000011 000_110111000001 111_100001111010 000_100010111001
111_110001001000 111_001011001101 111_000111001011 111_010110000000
111_011001010010 000_101110101101 000_100000100011 000_111001010100

111_011110101011 000_010100111001 111_001101100010 111_100101110101
000_110110101111 000_110100100010 111_010010111100 111_111001011111
000_011110110000 000_101000011001 111_100110110010 000_001100010001
111_011011011010 111_011110110001 000_010100100001 000_100101011100

000_110101001110 111_110001010011 000_111011000101 111_100001011001
111_001110101000 000_111010100000 111_111101001101 111_000011011011
000_001111111101 000_100111100010 000_111010001110 111_001101100101
000_011000010001 000_010010100011 000_111101000110 111_110101010001

111_100011111010 000_110000110101 000_000111011110 000_010001100000
000_000110011010 111_011010000011 000_100110010100 111_101100101001
111_011111111000 000_100110000000 111_001010011000 111_010111100011
000_001001110101 000_010010001100 000_001100000111 000_100000000010

111_001101100111 111_110101001000 000_111001111111 000_001000010010
000_101101111011 111_000010110111 000_000000111101 111_000011010111
000_010001111000 111_011011100000 111_001000111000 000_101101111010
111_111101100101 000_011110010000 111_100100110010 000_101001101111

111_010111011010 000_111100110101 000_000101010011 111_111111100011
000_100100010100 111_001011011111 000_110010001110 000_111001110100
000_100100100100 000_111100100010 000_011000001000 111_001111101110
000_010000110100 111_100100100111 111_110011101001 111_101110011101

000_111001010001 000_111110011001 111_000001011010 000_111111000110
000_100001011101 000_100101001010 000_110011010110 111_110011100000
111_110100010001 000_100110011110 111_100111000011 111_100001001111
000_011000011101 111_101110101111 111_110100010101 000_010110111000

000_101011000100 111_001011010010 000_100111100111 111_111101011011
111_111100101111 111_111011010101 000_100010101000 111_100101111000
111_110110100100 111_011111000000 111_101011100110 000_010100011110
000_010101101001 111_001010010110 111_001101100110 000_011100100101

000_000101000001 111_110110011011 111_110000111010 111_010110000011
111_000000010001 111_110000110100 000_110101101000 111_011111001101
000_100000010111 000_000010000111 000_001101001001 000_110111001010
111_010011011011 111_101101111110 111_010011100101 000_101110010101

000_101011001100 000_100110100100 111_011101100100 111_010100001011
000_101100000000 000_111011010111 000_111000100010 000_010101010101
111_000101000111 000_000101100111 111_110111010001 000_110010101100
000_110011101100 111_111010100000 111_000111110110 111_100111110001

111_000101100111 000_101111111011 111_000100111101 111_111010011100
000_110110100110 111_001101001000 111_000110101010 111_100001000010
111_110100110000 111_001110001111 000_111011110101 111_011011011010
000_010000010001 111_110011111111 111_011010010010 111_010110010111

111_011111100110 111_111011101101 111_011000111111 000_011110100100
111_110100001011 000_111111101001 000_110001111101 111_100110010001
000_001101011100 000_111111001000 000_100100110100 111_101110010010
111_110110010000 111_011010000011 000_010001110010 111_001010001101

000_000100110111 111_010011101101 111_011010001010 111_110101011111
000_000100010110 000_011111101011 111_100101001101 000_110000110001
111_001110100101 111_111010011100 111_011111001011 000_101010001110
111_000111100101 000_010111101000 111_011101011101 000_110001111010

000_101011001111 111_111110110001 000_100101011111 000_100110011000
000_110110011110 000_011110100000 000_100011110010 111_010000000011
000_100000000101 111_011101111011 111_100101000001 000_001001101110
000_111001011111 111_010101000010 111_100011011011 111_111011100111

111_011010100011 111_100111011010 111_001100011000 000_001010101111
111_010101100001 000_000100010111 000_111010000010 111_010000010001
111_010010100001 000_100101001011 111_110001111000 111_101111011011
111_111011011111 000_110111000011 111_100011111110 000_010110011010

000_110010001000 111_100001010001 000_001101010111 000_101001111101
111_011010000011 111_100001110000 111_011110001110 111_100101111100
000_100100000100 000_101010000011 111_110010110011 111_101110001101
000_001010111111 111_111101111000 111_110111011100 111_110101111000

000_001011111111 111_001101101001 111_100110001111 000_110110001000
000_111101101110 111_011001001011 111_010010010101 111_010000001000
000_100101000111 000_001011010010 111_110111010101 000_101101011110
111_000111011011 111_001011110101 111_110000111101 111_111011101000

000_001101000110 111_000111100100 000_101011110111 000_001000000101
000_001001000011 000_111010010100 111_101111110010 000_110101110011
111_100000000010 111_111000000001 111_111100010000 000_000110010011
000_110101110010 111_101010101101 000_110111000100 111_000000001011

000_100111101001 111_100001101001 000_011101010110 000_101111110011
111_100010101111 000_011000000011 111_010000101010 111_001001000100
000_111010101000 111_101100111010 000_110110111100 000_111111101010
000_000111010010 111_010110110000 000_110110110000 111_100100111001

111_010010101000 111_010110100110 000_110001101000 111_101110101010
111_001000110110 000_000101001010 111_001100111101 111_010001000000
111_101000101110 000_111110110100 000_000000010010 000_011010101101
000_000011111000 000_110110111110 111_011101011100 111_110111101100

000_010000001111 111_010011101100 000_101010001100 111_000001100000
000_101000011000 111_010110100001 111_011111001101 111_010111000101
111_110100011010 111_010010000110 111_101100000110 000_110110000100
111_000011011111 111_001101001001 111_011010000101 111_000001011101

000_000000100100 000_001111011100 111_100000111100 000_101010101010
111_110001101101 000_100001101111 111_100110000001 000_110011111110
111_001000001111 000_011110110000 000_011000100000 111_111000111000
111_000001111001 000_010110100101 000_011100011010 000_011001000011

111_000101000000 000_111111100001 111_110011000101 000_000001011111
000_011101011010 000_011100010110 111_101111000001 111_100010110000
111_110001100101 111_001011101000 000_010111011010 111_011100000111
111_101110011110 000_000011110111 000_110100111101 000_001001110010

111_111010000011 111_010010010110 000_110100110100 111_000110000010
000_000000110000 111_010000000110 111_101001011111 000_101111010011
111_000100101100 000_111101001011 111_001101100110 111_100011000000
000_010100001111 111_100111100011 000_100100111101 000_111111010000

000_100100001001 000_111101000000 111_101100010111 111_100000011000
000_011011110100 111_001111100011 111_110011000111 111_011010000110
111_000011001001 000_110100011000 000_100011011101 111_101001011100
111_011000111100 111_011000001011 000_100111101001 111_101010101111

000_110100001010 111_101101111100 111_010011001001 000_110101100100
000_111010111110 000_000010110101 111_000100000010 111_111110110011
000_101011101110 000_000011100010 111_001111000111 111_101110110111
111_110100110100 000_010100000110 111_000011111001 111_101100110101

000_011101010000 000_100011101010 111_110110100100 111_100110100011
111_001001000001 000_101111000011 111_100010001100 000_101111001011
111_101011100101 111_101010111101 000_011001000000 111_010001101010
111_101001010001 000_001101011001 000_100100001110 000_010001110001

111_001001000011 000_101011001000 111_111001101010 111_000000101100
000_110000111011 111_010000110110 000_111010011100 111_100010100100
000_011011011111 000_100111111111 111_011110001000 111_001011001110
111_101111000111 000_001110101101 000_010010000000 111_011111000010

000_100001001111 111_011011011100 111_110010011001 111_100111010100
111_000111101000 111_110101110110 000_010001000011 000_000111010100
111_011101000001 111_000111110011 111_100001101101 111_010001000010
000_100011000100 111_110110010100 000_011101000010 000_100110110100

000_111001011001 111_010000010000 111_011111110101 111_110011011101
111_000000101101 111_111101110111 000_110010010101 000_110100100111
000_110101111001 000_111000111111 000_010010100001 111_110011111100
000_101001011000 111_010010101100 111_100111111100 111_110111011011

000_100000110110 111_000111110111 000_001110010011 111_100110000001
111_100001101011 111_001111000011 000_110110100100 111_100000111111
000_111010001001 000_000100111101 000_011100001100 111_001111101110
000_110100001011 111_101101001110 000_001000110111 000_010000011100

111_111101100010 000_101110100101 000_001101111000 000_100110000011
111_000101010111 000_001101000111 000_111011100100 111_000001000010
111_001010010111 000_101000010011 111_010110111110 000_100100110110
000_110111011111 000_100100110010 111_000010010100 111_001100011100

111_011011011000 111_011110100000 111_100111101001 111_110000000110
000_001001001101 111_001011110110 000_111110111011 111_010101111111
000_101000010111 000_101011011011 000_100110101000 000_111111100010
000_011111100011 111_101110000010 111_101111110011 000_110010111101

000_100101010001 111_110110011111 000_111010010111 000_011110110110
111_100111000001 000_011101111100 111_010001000100 111_110101000111
000_011101100110 000_011011111101 000_000010001010 111_100111101000
000_101010000101 111_111101000010 000_010100000111 111_100000001011

000_010111011110 111_110010010001 111_111000111010 111_101100101111
111_011111001010 000_000101011100 111_110100010000 111_100111110000
111_110110100010 000_010100000100 111_100011111001 111_110000101101
111_010110110101 111_010010010101 111_011001001001 111_100000101011

111_111110100001 111_111010001000 000_101100110101 000_110011011011
000_111100100000 000_110111011011 111_001010011011 000_111010101010
111_011011110001 000_010110010110 111_000000000011 111_100101011010
111_000111111001 111_000111111110 111_010100001011 111_011101011001

111_110001100011 000_111011100011 000_110011000100 111_111100101110
000_001011100101 111_001110011111 000_101100010111 000_101011011111
000_100010000000 000_010011001101 111_100011111110 111_011110011111
000_101011001110 000_001010101001 000_101011001011 000_111101101101

111_101111011110 000_010000101100 111_100101100101 111_010111011010
000_111100111001 000_110100100011 000_100110111001 000_100011101110
111_101001001111 000_110111011010 111_101000011110 111_100011000011
111_101010001010 000_010110101101 000_000001111101 111_101010110000

000_001011000000 111_011101110001 111_101101011001 111_100010111011
000_001110100100 111_111001110010 000_101111001011 111_100000011011
111_010110001100 000_101101110011 000_101011110011 111_111101000110
